iter	MultiClass
0	3.929508801
1	3.876729552
2	3.837874593
3	3.807733017
4	3.778594537
5	3.753969385
6	3.732072049
7	3.713743835
8	3.698153248
9	3.679044475
10	3.665340433
11	3.656030498
12	3.644782229
13	3.637469137
14	3.627452504
15	3.614120473
16	3.605961736
17	3.596016272
18	3.587876145
19	3.57957368
20	3.571519211
21	3.562888154
22	3.553340957
23	3.54830915
24	3.543047752
25	3.539174395
26	3.531922501
27	3.526432294
28	3.518539816
29	3.514099734
30	3.507626491
31	3.504555746
32	3.498622876
33	3.494077325
34	3.486622476
35	3.481383528
36	3.478841239
37	3.474344812
38	3.470142072
39	3.465495091
40	3.462344445
41	3.458247683
42	3.455080683
43	3.451588766
44	3.446760929
45	3.445741123
46	3.442625143
47	3.438558974
48	3.435322077
49	3.431517369
50	3.429223263
51	3.42739205
52	3.424045686
53	3.419455029
54	3.415975532
55	3.411834628
56	3.408689434
57	3.405323935
58	3.402701904
59	3.400019194
60	3.396814978
61	3.395526785
62	3.392487018
63	3.389556331
64	3.385973926
65	3.382984211
66	3.380021058
67	3.378042906
68	3.374902819
69	3.372668672
70	3.370629682
71	3.368741679
72	3.364705929
73	3.362615919
74	3.359627714
75	3.355638257
76	3.352833663
77	3.349326455
78	3.346256668
79	3.342776453
80	3.339132321
81	3.334562979
82	3.33175653
83	3.328343503
84	3.324377571
85	3.32067991
86	3.318149276
87	3.317016839
88	3.31315306
89	3.30943136
90	3.305332624
91	3.303373628
92	3.300591016
93	3.295275777
94	3.291874756
95	3.289543025
96	3.287338309
97	3.282574891
98	3.278581739
99	3.273440954
100	3.270967707
101	3.266519502
102	3.262770181
103	3.258613498
104	3.255762118
105	3.251715518
106	3.248668038
107	3.245209797
108	3.241838152
109	3.237082892
110	3.233157252
111	3.230089923
112	3.227206838
113	3.224804748
114	3.222344745
115	3.218378982
116	3.215989602
117	3.213198995
118	3.209009626
119	3.205356053
120	3.202464996
121	3.20012738
122	3.196679872
123	3.193190857
124	3.190833372
125	3.187444216
126	3.184755102
127	3.181115189
128	3.179063808
129	3.176746454
130	3.174417055
131	3.170178835
132	3.167326186
133	3.163740899
134	3.160679074
135	3.158200198
136	3.156867117
137	3.153865973
138	3.150997999
139	3.149010037
140	3.146570364
141	3.144870338
142	3.142461827
143	3.139638268
144	3.137592881
145	3.13464112
146	3.13186181
147	3.128696569
148	3.126602964
149	3.124709518
150	3.123499612
151	3.121130307
152	3.118278919
153	3.115374653
154	3.112216805
155	3.110139656
156	3.107958667
157	3.105563661
158	3.103005838
159	3.100817425
160	3.099021762
161	3.096719836
162	3.095040763
163	3.092291166
164	3.088813434
165	3.086975743
166	3.084718943
167	3.081975939
168	3.080730301
169	3.078551474
170	3.076260293
171	3.075173726
172	3.073372125
173	3.070702047
174	3.069021159
175	3.067725907
176	3.065394192
177	3.063786742
178	3.061682994
179	3.059858568
180	3.058417732
181	3.056530658
182	3.054229263
183	3.052685154
184	3.050102377
185	3.047699851
186	3.046225685
187	3.045350754
188	3.043708762
189	3.043068085
190	3.041721778
191	3.037849856
192	3.036618965
193	3.035675236
194	3.033699596
195	3.031677313
196	3.029892739
197	3.028296971
198	3.026617805
199	3.024907916
200	3.023994184
201	3.022992353
202	3.021748658
203	3.020020951
204	3.018139939
205	3.015642344
206	3.014151996
207	3.012612965
208	3.011423344
209	3.010280898
210	3.009601282
211	3.008165653
212	3.006468784
213	3.00450736
214	3.002502144
215	3.001125998
216	2.99982581
217	2.997731766
218	2.996428737
219	2.994287836
220	2.993044099
221	2.992071399
222	2.990528093
223	2.988613823
224	2.985746263
225	2.98450587
226	2.983620834
227	2.98213385
228	2.98062322
229	2.979027259
230	2.978026026
231	2.976561657
232	2.974765536
233	2.972589819
234	2.970363662
235	2.969127206
236	2.967870933
237	2.9661391
238	2.965225973
239	2.964135981
240	2.963357669
241	2.962151084
242	2.960709972
243	2.959152956
244	2.957499787
245	2.956345883
246	2.954911625
247	2.952447168
248	2.951552859
249	2.95009383
250	2.948936501
251	2.948229171
252	2.946540395
253	2.94530839
254	2.943969456
255	2.943036444
256	2.942377633
257	2.940867719
258	2.939421161
